Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.6750751764966215,0.016954722887354823,0.684368411274663,0.3273798650901661,21.669347047579063,0.7636624149978161
2,1.005561309920815,0.007043478056641093,0.6931481792476452,0.696054033984498,25.912241308688063,0.8545275847117106
3,1.0029535249634758,0.004972881898584723,0.6985274051557511,0.7020279601960535,25.502311531057398,0.8743814521034559
4,1.0052959398955335,0.004028081136412563,0.6189768620591719,0.6188134522473264,28.23999518724408,0.8940813580652078
5,1.0035974762588646,0.003893894376174932,0.6220549238326478,0.6258950100507317,26.91373837031657,0.9051564059654872
6,1.000725599265782,0.003501251031336766,0.6850455439662229,0.6822996982974244,26.623255487381247,0.8965523494283358
7,1.0014367375748077,0.0033728023466398473,0.6497071879589598,0.6491159729268796,27.778225689039317,0.9127952662110329
8,0.9997875029877498,0.0031069181235522285,0.6773383158335684,0.6764849157413354,28.38276964592125,0.9123660161097844
9,1.0010832205390525,0.002977186006227258,0.64322490195396,0.6433655796219342,28.357057790247097,0.9160966405272484
10,1.0002282952796773,0.002955300270729322,0.6078099358781645,0.6073571613403744,28.123860729172062,0.9185211403171222
11,1.0005814914098146,0.002846680119580516,0.6407970882861751,0.6415418712721851,28.49649669470711,0.9185054056843122
12,1.0012979528560464,0.002566555465532763,0.6971767129326869,0.6973985992395351,29.535828032398385,0.9214886371294657
13,1.0009763865137238,0.0025692189891089027,0.6333967060585586,0.6335615295837991,30.211822304173303,0.9271871029337247
14,1.002251577311664,0.002572117023766162,0.745450261127428,0.750034280228576,29.156243317575388,0.9199172748625278
15,1.000010612044082,0.0020983302011005956,0.9999706888470427,0.9999821098326204,30.078760509317036,0.9338433454434077
16,0.9999983382621953,0.0021974438768504346,0.9999815355643624,0.9999796165395162,29.1087397007044,0.9262651575605074
17,1.0000022458021447,0.00220157353115724,0.9999655566252521,0.9999666253233273,28.956523831727907,0.9307631886005402
18,1.0000010421001833,0.0020479779878598827,0.9999895744470559,0.99999062179967,29.402512708568338,0.9260737708210945
19,1.0000033247290303,0.002054360843729752,0.9999930334562711,0.999996370600138,26.80460090601475,0.926412538488706
20,1.0000004513136271,0.002035604141357531,0.99999731561242,0.9999977702685031,30.914501666340826,0.9339317119121552
21,0.9999997679380559,0.0019938905626576916,0.9999979496420004,0.9999977171025627,18.102061433194876,0.8968643805384636
22,1.0000003953647936,0.0020713922663549017,0.9999953081467853,0.9999956953941858,29.512711270419416,0.9297639902432759
23,1.0000011776188673,0.0019013996447815032,0.9999966153305871,0.9999978067967721,30.9613989989758,0.9339813035726547
24,1.0000000539567895,0.001882363905083229,0.9999971049556238,0.9999971555699573,25.95433380339486,0.9264055328567823
25,0.9999984472650568,0.0018907449844294813,0.9999981669165611,0.999996518287451,26.63247910035462,0.9224132844805717
26,1.0000005051883474,0.002135180649803997,0.9999974191464863,0.9999979190824029,29.831879121493586,0.9311179812749227
27,1.0000003356780796,0.001904908307674246,0.999998706469534,0.9999990474000444,29.807927081155125,0.9299582970142365
28,1.000000235911737,0.001865364934398438,0.9999977801690368,0.9999980179907488,26.451247407255583,0.9303607754906018
29,1.0000010022070758,0.001916233823566021,0.9999944812992754,0.9999954859758888,28.202145725474598,0.9248230749368668
30,1.0000000190997484,0.001864013928701568,0.9999993978804291,0.999999417935165,31.005255637149787,0.9330310306946437
31,1.0000005002492718,0.0018966616165347091,0.9999983938752911,0.9999989008094748,29.715588118561772,0.9330178334315617
32,1.00000012605834,0.0017398334902056407,0.9999981797939697,0.9999983096722593,30.31324422031938,0.9345820666352908
33,1.0000002341211356,0.0018042162690129345,0.9999984959917979,0.9999987272479713,31.242532490447292,0.934872630337874
34,1.0000000797414499,0.0017802158787750741,0.9999994456298003,0.9999995268037314,30.76845920529477,0.9345597366491953
35,1.000000286973721,0.001685968550931187,0.999998682199424,0.9999989757759876,27.176462294183956,0.9383297424515088
36,0.9999986697025182,0.011998704611874593,0.9999992956967747,0.9999978445933838,8.91111640337153,0.4602332656116535
37,0.999999393105492,0.025190047208872125,0.9999991052588528,0.9999984720201214,25.454412555682797,0.8410560996333758
38,0.9999988406452671,0.0049739829994344545,0.9999948220581865,0.9999935423750381,27.722685546801806,0.887602552473545
39,1.0000003755562654,0.003402803935686919,0.9999952091190659,0.9999955302410481,28.68409073628625,0.9082416854302089
40,0.9999998008851221,0.0028981373112381536,0.9999976765155971,0.9999973718746088,29.529667883938103,0.9215588043133418
41,1.000000467466344,0.0024894481333757666,0.9999965252782573,0.9999969960870575,29.491209195742677,0.9266554128130277
42,1.0000000661925659,0.002242555682794414,0.999998072007225,0.9999981363718852,29.97357742842525,0.9303680115938187
43,1.0000002134396893,0.002170253030306232,0.999997134560234,0.9999973408375176,27.137538948667824,0.9288973995049794
44,1.0000001586771292,0.0021127691826835463,0.9999959765708346,0.9999960716592309,26.98662491126033,0.9328395664691925
45,1.0000003075059505,0.002048135992697509,0.9999982262749981,0.9999985414208481,30.141738067941493,0.9307795545458794
46,0.999999645222172,0.002098450373363,0.9999967353754907,0.9999963414431782,29.777422994603356,0.9343587686618169
47,1.0000015972164669,0.0019561243698451823,0.9999969169872397,0.9999985198515619,27.68697659409639,0.9363209305206934
48,1.0000000186222548,0.0019450950329802255,0.9999997851278296,0.9999998066150466,30.85348249954629,0.9380325057109197
49,0.9999997884702856,0.0018350005687313173,0.9999998195073768,0.999999607022675,30.30844369388255,0.9389477295676867
50,0.9999999912036706,0.0017699709976454997,0.9999997523075977,0.9999997478087116,30.504708579378786,0.9388533025979996
